rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss
21.526315789473685,21.526315789473685,1,2048,0,2519,,,,,,,,,,
25.3,25.3,2,4096,2,2028,6.711639881134033,50.3538193076849,0.009264572,0.0003,0.2,-0.0038052797317504883,0.091357421875,10,-0.01275801564916037,-0.6867032330483198
34.68,34.68,3,6144,3,1909,15.718820571899414,33.682831805944446,0.01199676,0.0003,0.2,0.09545409679412842,0.096337890625,20,-0.022823093662736937,-0.6693430569022893
46.49,46.49,4,8192,4,1858,16.364774703979492,51.17854722738266,0.011401037,0.0003,0.2,0.2780299186706543,0.141748046875,30,-0.024047230274300092,-0.6320397531613707
61.51,61.51,5,10240,5,1816,29.50167465209961,64.89844106435775,0.009200352,0.0003,0.2,0.23127013444900513,0.08583984375,40,-0.01594265653693583,-0.6033939264714718
75.45,75.45,6,12288,6,1794,26.05180549621582,61.45663998126984,0.006022525,0.0003,0.2,0.37712472677230835,0.03896484375,50,-0.009747408749535679,-0.5889470797032118
93.17,93.17,7,14336,8,1781,7.464085578918457,44.63508011102677,0.0074945935,0.0003,0.2,0.6456363499164581,0.039404296875,60,-0.004355802699865308,-0.5825333673506975
110.2,110.2,8,16384,9,1768,13.224564552307129,31.000215657055378,0.008597052,0.0003,0.2,0.8171489387750626,0.058349609375,70,-0.005019219768291805,-0.5774051124230027
128.66,128.66,9,18432,10,1762,2.3921775817871094,32.98955662846565,0.008045027,0.0003,0.2,0.8156008720397949,0.047412109375,80,-0.00646983047190588,-0.5634425193071365
143.84,143.84,10,20480,11,1754,5.977302551269531,27.098812974989414,0.0062479717,0.0003,0.2,0.8657691478729248,0.05283203125,90,-0.0073702225054148585,-0.5625327214598655
